Partial_Entity_Name,State,State_Short,Full_Entity_Name,Match_Status,Matched_Name,Confidence_Score,Match_Stage,Context_Notes,Top_3_Candidates
CITY OF VENTURA,California,CA,CA-CITY OF VENTURA,Matched,CA-COUNTY OF VENTURA,0.821,review,type_mismatch: CITY vs COUNTY,CA-COUNTY OF VENTURA (0.821) | CA-CITY OF TRACY (0.664) | CA-CITY OF VISTA (0.664)
CITY OF WEST SACRAMENTO,California,CA,CA-CITY OF W SACRAMENTO,Matched,CA-CITY OF SACRAMENTO,0.8178,review,city_mismatch: W SACRAMENTO vs SACRAMENTO,CA-CITY OF SACRAMENTO (0.818) | CA-COUNTY OF SACRAMENTO (0.805) | CA-CITY OF WEST SACRAMENTO (0.786)
CITY OF NORTH RICHLAND HILLS,Texas,TX,TX-CITY OF N RICHLAND HILLS,Matched,TX-CITY OF RICHLAND HILLS,0.8165,review,city_mismatch: N RICHLAND vs RICHLAND HILLS,TX-CITY OF RICHLAND HILLS (0.817) | TX-CITY OF NORTH RICHLAND HILLS (0.783) | TX-CITY OF RICHLAND (0.719)
CITY OF SOUTH PORTLAND,Maine,ME,ME-CITY OF S PORTLAND,Matched,ME-CITY OF PORTLAND,0.8128,review,city_mismatch: S PORTLAND vs PORTLAND,ME-CITY OF PORTLAND (0.813) | ME-CITY OF SOUTH PORTLAND (0.768) | ME-TOWN OF POLAND (0.648)
CITY OF SOUTH PASADENA,California,CA,CA-CITY OF S PASADENA,Matched,CA-CITY OF PASADENA,0.8103,review,city_mismatch: S PASADENA vs PASADENA,CA-CITY OF PASADENA (0.810) | CA-CITY OF SOUTH PASADENA (0.773) | CA-CITY OF SALINAS (0.653)
DELAWARE COUNTY LIBRARY DISTRICT,Ohio,OH,OH-DELAWARE COUNTY LIBRARY DISTRICT,Matched,OH-DELAWARE CITY SCHOOL DISTRICT,0.7288,review,type_mismatch: COUNTY vs SCHOOL,OH-DELAWARE CITY SCHOOL DISTRICT (0.729) | OH-COUNTY OF DELAWARE (0.669) | OH-DELAWARE JOINT VOCATIONAL SCHOOL DISTRICT (0.621)
CITY OF PITTSVILLE,Massachusetts,MA,MA-CITY OF PITTSVILLE,Matched,MA-CITY OF PITTSFIELD,0.7034,review,city_mismatch: PITTSVILLE vs PITTSFIELD,MA-CITY OF PITTSFIELD (0.703) | MA-CITY OF SOMERVILLE (0.650) | MA-TOWN OF PLAINVILLE (0.602)
DUNDEE TOWNSHIP PARK DISTRICT,Illinois,IL,IL-DUNDEE TOWNSHIP PARK DISTRICT,Matched,IL-TOWNSHIP OF DUNDEE,0.6992,review,,IL-TOWNSHIP OF DUNDEE (0.699) | IL-NILES TOWNSHIP DISTRICT FOR SPECIAL EDUCATION (0.669) | IL-WHEELING PARK DISTRICT (0.649)
EAST BATON ROUGH SCHOOLS,Louisiana,LA,LA-E BATON ROUGH SCHOOLS,Matched,LA-EAST BATON ROUGE PARISH SCHOOL BOARD,0.6926,review,,LA-EAST BATON ROUGE PARISH SCHOOL BOARD (0.693) | LA-CAMERON PARISH SCHOOLS (0.662) | LA-AUDOBON CHARTER SCHOOLS (0.662)
SAN BERNARDINO TRANSPORTATION AUTHORITY,California,CA,CA-SAN BERNARDINO TRANSPORTATION AUTHORITY,Matched,CA-CSU SAN BERNARDINO,0.6919,review,city_match: SAN BERNARDINO,CA-CSU SAN BERNARDINO (0.692) | CA-SAN BERNARDINO CITY UNIFIED SCHOOL DISTRICT (0.657) | CA-SAN ELIJO JOINT POWERS AUTHORITY (0.649)
LA MESA-SPRING VALLEY SCHOOLS,California,CA,CA-LA MESA-SPRING VALLEY SCHOOLS,Matched,CA-DIABLO VALLEY SCHOOLS,0.6913,review,,CA-DIABLO VALLEY SCHOOLS (0.691) | CA-SILICON VALLEY SCHOOL (0.687) | CA-EAST VALLEY SCHOOL TRANSPORTATION (0.686)
MAYFIELD CSD,New York,NY,NY-MAYFIELD CSD,Matched,NY-MAYFIELD CENTRAL SCHOOLS,0.6902,review,,NY-MAYFIELD CENTRAL SCHOOLS (0.690) | NY-MAYFIELD FIRE DISTRICT 2 (0.634) | NY-FRIENDS ACADEMY (0.600)
NEWTON PUBLIC SCHOOLS,Kansas,KS,KS-NEWTON PUBLIC SCHOOLS,Matched,KS-QUINTER PUBLIC SCHOOLS GOVE COUNTY,0.6894,review,,KS-QUINTER PUBLIC SCHOOLS GOVE COUNTY (0.689) | KS-GOESSEL PUBLIC SCHOOLS MARION COUNTY (0.673) | KS-INGALLS PUBLIC SCHOOLS GRAY COUNTY (0.670)
SWEET HOME CSD,New York,NY,NY-SWEET HOME CSD,Matched,NY-SWEET HOME CENTRAL SCHOOL DISTRICT,0.6876,review,,NY-SWEET HOME CENTRAL SCHOOL DISTRICT (0.688) | NY-JAMES STREET ACADEMY (0.577) | NY-HOPE HOSE 1 (0.550)
DUANESBURG CSD,New York,NY,NY-DUANESBURG CSD,Matched,NY-DUANESBURG CENTRAL SCHOOL DISTRICT,0.6876,review,,NY-DUANESBURG CENTRAL SCHOOL DISTRICT (0.688) | NY-TOWN OF DUANESBURG (0.629) | NY-NEWBURGH ENLARGED CSD (0.621)
WILLIAMSON CSD,New York,NY,NY-WILLIAMSON CSD,Matched,NY-WILLIAMSON CENTRAL SCHOOL DISTRICT,0.6876,review,,NY-WILLIAMSON CENTRAL SCHOOL DISTRICT (0.688) | NY-TOWN OF WILLIAMSON (0.656) | NY-WATSON WILLIAMS SCHOOL (0.617)
SALT LAKE CITY PUBLIC LIBRARY,Utah,UT,UT-SALT LAKE CITY PUBLIC LIBRARY,Matched,UT-CITY OF SALT LAKE CITY,0.683,review,,UT-CITY OF SALT LAKE CITY (0.683) | UT-DIOCESE OF SALT LAKE CITY (0.611) | UT-CITY OF NORTH SALT LAKE (0.611)
EAST BATON ROUGE PARISH LIBRARY DISTRICT,Louisiana,LA,LA-E BATON ROUGE PARISH LIBRARY DISTRICT,Matched,LA-PARISH OF WEST BATON ROUGE SCHOOL DISTRICT,0.6821,review,type_mismatch: DISTRICT vs SCHOOL,LA-PARISH OF WEST BATON ROUGE SCHOOL DISTRICT (0.682) | LA-BOSSIER PARISH LIBRARY HISTORICAL CENTER (0.663) | LA-PARISH OF WEST BATON ROUGE (0.637)
CLINTON CSD,New York,NY,NY-CLINTON CSD,Matched,NY-CLINTON CENTRAL SCHOOL,0.68,review,,NY-CLINTON CENTRAL SCHOOL (0.680) | NY-CLINTON ESSEX FRANKLIN LIBRARY (0.601) | NY-CLINTON COMMUNITY COLLEGE (0.587)
TRI-STATE FIRE PROTECTION DISTRICT,Illinois,IL,IL-TRI-STATE FIRE PROTECTION DISTRICT,Matched,IL-FOX RIVER WATER RECLAMATION DISTRICT,0.6764,review,,IL-FOX RIVER WATER RECLAMATION DISTRICT (0.676) | IL-FLAGG CREEK WATER RECLAMATION DISTRICT (0.657) | IL-ROCK RIVER WATER RECLAMATION DISTRICT (0.624)
MCPHERSON PUBLIC SCHOOLS,Kansas,KS,KS-MCPHERSON PUBLIC SCHOOLS,Matched,KS-GOESSEL PUBLIC SCHOOLS MARION COUNTY,0.6748,review,,KS-GOESSEL PUBLIC SCHOOLS MARION COUNTY (0.675) | KS-LACROSSE PUBLIC SCHOOLS RUSH COUNTY (0.657) | KS-QUINTER PUBLIC SCHOOLS GOVE COUNTY (0.656)
CITY OF WATERTOWN,South Carolina,SC,SC-CITY OF WATERTOWN,Matched,SC-CITY OF WALTERBORO,0.6741,review,city_mismatch: WATERTOWN vs WALTERBORO,SC-CITY OF WALTERBORO (0.674) | SC-COUNTY OF GEORGETOWN (0.643) | SC-TOWN OF SANTEE (0.626)
CITY OF AUGUSTA,Georgia,GA,GA-CITY OF AUGUSTA,Matched,GA-CITY OF AUSTELL,0.674,review,city_mismatch: AUGUSTA vs AUSTELL,GA-CITY OF AUSTELL (0.674) | GA-COUNTY OF AUGUSTA-RICHMOND (0.672) | GA-CITY OF AUBURN (0.638)
WILLSBORO CSD,New York,NY,NY-WILLSBORO CSD,Matched,NY-WILLSBORO CENTRAL SCHOOL DISTRICT,0.6737,review,,NY-WILLSBORO CENTRAL SCHOOL DISTRICT (0.674) | NY-TOWN OF WILLSBORO (0.611) | NY- WINDSOR SCHOOL (0.574)
MIDLAND COUNTY UTILITY DISTRICT,Texas,TX,TX-MIDLAND COUNTY UTILITY DISTRICT,Matched,TX-DALLAS COUNTY HOSPITAL DISTRICT,0.6677,review,,TX-DALLAS COUNTY HOSPITAL DISTRICT (0.668) | TX-COUNTY OF MIDLAND (0.663) | TX-LUBBOCK COUNTY HOSPITAL DISTRICT (0.643)
NORTH ROSE-WOLCOTT CSD,New York,NY,NY-N ROSE-WOLCOTT CSD,Matched,NY-NORTH ROSE-WOLCOTT CENTRAL SCHOOL DISTRICT,0.6667,review,,NY-NORTH ROSE-WOLCOTT CENTRAL SCHOOL DISTRICT (0.667) | NY-OLCOTT FIRE (0.600) | NY-TOWN OF WOLCOTT (0.586)
IOWA CITY CSD,Iowa,IA,IA-IOWA CITY CSD,Matched,IA-CITY OF IOWA CITY,0.6658,review,type_mismatch: SCHOOL vs CITY,IA-CITY OF IOWA CITY (0.666) | IA-IOWA CITY COMMUNITY SCHOOL DISTRICT (0.661) | IA-CITY OF IOWA FALLS (0.637)
BALL CHATHAM CUSD5,Illinois,IL,IL-BALL CHATHAM CUSD5,Matched,IL-BALL CHATHAM COMMUNITY UNIT SCHOOL DISTRICT 5,0.6624,review,,IL-BALL CHATHAM COMMUNITY UNIT SCHOOL DISTRICT 5 (0.662) | IL-CHATHAM ACADEMY (0.610) | IL-NEW ATHENS CUSD 60 (0.511)
URBANDALE CSD,Iowa,IA,IA-URBANDALE CSD,Matched,IA-URBANDALE COMMUNITY SCHOOL DISTRICT,0.6611,review,,IA-URBANDALE COMMUNITY SCHOOL DISTRICT (0.661) | IA-CITY OF EVANSDALE (0.504)
NORTHWEST FIRE DISTRICT,Arizona,AZ,AZ-NORTHWEST FIRE DISTRICT,Matched,AZ-FORREST ELEMENTARY DISTRICT,0.6596,review,,AZ-FORREST ELEMENTARY DISTRICT (0.660) | AZ-METRO WATER DISTRICT (0.634) | AZ-BOWIE UNIFIED DISTRICT (0.618)
CARTHAGE CSD,New York,NY,NY-CARTHAGE CSD,Matched,NY-CARTHAGE CENTRAL SCHOOL DISTRICT,0.6568,review,,NY-CARTHAGE CENTRAL SCHOOL DISTRICT (0.657) | NY-HARLEM CHARTER SCHOOLS (0.580) | NY- CHARTER SCHOOL (0.569)
IROQUOIS CSD,New York,NY,NY-IROQUOIS CSD,Matched,NY-IROQUOIS CENTRAL SCHOOL DISTRICT,0.6568,review,,NY-IROQUOIS CENTRAL SCHOOL DISTRICT (0.657) | NY-DONORS CHOOSE (0.516)
PENFIELD CSD,New York,NY,NY-PENFIELD CSD,Matched,NY-PENFIELD CENTRAL SCHOOL DISTRICT,0.6568,review,,NY-PENFIELD CENTRAL SCHOOL DISTRICT (0.657) | NY-PENCIL (0.612) | NY-TOWN OF PENFIELD (0.594)
MONTANA TECH,Montana,MT,MT-MONTANA TECH,Matched,MT-STATE OF MONTANA,0.6555,review,,MT-STATE OF MONTANA (0.656) | MT-MONTANA CITY ELEMENTARY SCHOOL DISTRICT (0.581) | MT-UNIVERSITY OF MONTANA - MISSOULA (0.525)
OCM BOCES,New York,NY,NY-OCM BOCES,Matched,NY-MONROE 1 BOCES,0.6517,review,,NY-MONROE 1 BOCES (0.652) | NY-BOCES ONEIDA (0.645) | NY-DUTCHESS BOCES (0.636)
COLUMBUS CSD,Iowa,IA,IA-COLUMBUS CSD,Matched,IA-COLUMBUS COMMUNITY SCHOOL DISTRICT,0.6442,review,,IA-COLUMBUS COMMUNITY SCHOOL DISTRICT (0.644) | IA-CITY OF COLUMBUS JUNCTION (0.569)
LINN-MAR CSD,Iowa,IA,IA-LINN-MAR CSD,Matched,IA-LINN-MAR COMMUNITY SCHOOL DISTRICT,0.6442,review,,IA-LINN-MAR COMMUNITY SCHOOL DISTRICT (0.644)
SCHOOL OF DREAMS ACADEMY,New Mexico,NM,NM-SCHOOL OF DREAMS ACADEMY,Matched,NM- SCHOOL,0.64,review,,NM- SCHOOL (0.640) | NM-MOSAIC ACADEMY (0.628) | NM- ASK ACADEMY (0.621)
ONTEORA CSD,New York,NY,NY-ONTEORA CSD,Matched,NY-ONTEORA CENTRAL SCHOOL DISTRICT,0.6394,review,,NY-ONTEORA CENTRAL SCHOOL DISTRICT (0.639) | NY-DONORS CHOOSE (0.600) | NY-BOCES ONEIDA (0.577)
ARKPORT CSD,New York,NY,NY-ARKPORT CSD,Matched,NY-ARKPORT CENTRAL SCHOOL DISTRICT,0.6394,review,,NY-ARKPORT CENTRAL SCHOOL DISTRICT (0.639) | NY-SEAFORD UFSD (0.531) | NY-VILLAGE OF ARKPORT (0.527)
GOWANDA CSD,New York,NY,NY-GOWANDA CSD,Matched,NY-GOWANDA CENTRAL SCHOOL DISTRICT,0.6394,review,,NY-GOWANDA CENTRAL SCHOOL DISTRICT (0.639) | NY-GOWANDA VOLUNTEER FIRE (0.600) | NY-BOCES ONEIDA (0.563)
OSWEGO CUSD 308,Illinois,IL,IL-OSWEGO CUSD 308,Matched,IL-WABASH CUSD 348,0.6289,review,,IL-WABASH CUSD 348 (0.629) | IL-OSWEGO COMMUNITY UNIT SCHOOL DISTRICT 308 (0.614) | IL-UNITED CUSD 304 (0.612)
MARION CSD,New York,NY,NY-MARION CSD,Matched,NY-RHINEBECK CSD,0.6274,review,,NY-RHINEBECK CSD (0.627) | NY-NARDIN ACADEMY (0.583) | NY-SAINT MARYS ACADEMY (0.556)
WEST GENESEE CSD,New York,NY,NY-W GENESEE CSD,Matched,NY-TOWN OF GENESEE,0.6226,review,type_mismatch: SCHOOL vs CITY,NY-TOWN OF GENESEE (0.623) | NY-TOWN OF GENESEE FALLS (0.622) | NY-WEST GENESEE CENTRAL SCHOOL DISTRICT (0.587)
GALWAY CSD,New York,NY,NY-GALWAY CSD,Matched,NY-GALWAY CENTRAL SCHOOL DISTRICT,0.6158,review,,NY-GALWAY CENTRAL SCHOOL DISTRICT (0.616) | NY- ALBANY ACADEMY (0.611) | NY-GATEWAY ACADEMY SCHOOL (0.557)
CAMDEN CSD,New York,NY,NY-CAMDEN CSD,Matched,NY-CAMDEN CENTRAL SCHOOL DISTRICT,0.6158,review,,NY-CAMDEN CENTRAL SCHOOL DISTRICT (0.616) | NY-FARMINGDALE UFSD (0.577) | NY-MDQ ACADEMY (0.569)
CITY OF BARLTESVILLE,Oklahoma,OK,OK-CITY OF BARLTESVILLE,Matched,OK-CITY OF ALTUS,0.6142,review,city_mismatch: BARLTESVILLE vs ALTUS,OK-CITY OF ALTUS (0.614) | OK-TOWN OF SLAUGHTERVILLE (0.612) | OK-CITY OF ALVA (0.593)
CLARKDALE COUNTY,Arizona,AZ,AZ-CLARKDALE COUNTY,Matched,AZ-CARDEN OF TUCSON,0.6002,review,,AZ-CARDEN OF TUCSON (0.600) | AZ-TOWN OF CLARKDALE (0.586) | AZ-CLARKDALE JEROME SCHOOL DISTRICT 3 (0.565)
BOQUET VALLEY CSD,New York,NY,NY-BOQUET VALLEY CSD,Matched,NY-BRASHER FALLS CSD,0.5967,review,,NY-BRASHER FALLS CSD (0.597) | NY-VALLEY CENTRAL SCHOOLS (0.594) | NY-ROUNDOUT VALLEY CENTRAL SCHOOL (0.571)
PIMA JTED,Arizona,AZ,AZ-PIMA JTED,Matched,AZ-PIMA MEDICAL INSTITUTE,0.5955,review,,AZ-PIMA MEDICAL INSTITUTE (0.595) | AZ-PAPAGO PIMA EDUCATION (0.534)
EASTON VALLEY CSD,Iowa,IA,IA-EASTON VALLEY CSD,Matched,IA-CEDAR VALLEY CHRISTIAN SCHOOL,0.5896,review,,IA-CEDAR VALLEY CHRISTIAN SCHOOL (0.590) | IA-PLEASANT VALLEY COMMUNITY SCHOOL DISTRICT (0.553) | IA-ROCK VALLEY CHRISTIAN SCHOOL (0.538)
NORMANDY SCHOOLS COLLABORATIVE,South Carolina,SC,SC-NORMANDY SCHOOLS COLLABORATIVE,Matched,SC-CHARLESTON DAY SCHOOL,0.5822,review,,SC-CHARLESTON DAY SCHOOL (0.582) | SC-CARDINAL NEWMAN HIGH SCHOOL (0.573) | SC-OAKBROOK PREPARATORY SCHOOL (0.569)
NORTH SHORE CSD,New York,NY,NY-N SHORE CSD,Matched,NY-WSWHE BOCES,0.5713,review,,NY-WSWHE BOCES (0.571) | NY-BNOS CHOMESH ACADEMY (0.556) | NY-RHINEBECK CSD (0.540)
CAPTIVA ISLAND FIRE CONTROL DISTRICT,Florida,FL,FL-CAPTIVA ISLAND FIRE CONTROL DISTRICT,Matched,FL-INDIAN RIVER COUNTY SCHOOL DISTRICT,0.5598,review,type_mismatch: DISTRICT vs SCHOOL,FL-INDIAN RIVER COUNTY SCHOOL DISTRICT (0.560) | FL-CLAY COUNTY SCHOOL DISTRICT (0.560) | FL-DIXIE COUNTY SCHOOL DISTRICT (0.558)
ICHABOD CRANE CSD,New York,NY,NY-ICHABOD CRANE CSD,Matched,NY-BRASHER FALLS CSD,0.5498,review,,NY-BRASHER FALLS CSD (0.550) | NY- BRANDEIS SCHOOL (0.550) | NY-COPAKE TACONIC HILLS CSD (0.541)
